Farbe,Preis,Material,Structure1,Structure_2,Structure_3,Structure_4,outfit_id,object_id
grau,"59,90 EUR","""Obermaterial: 40% Wolle",Frauen,Bekleidung,Große Größen,Pullover & Strick,/o/lena-gercke-weekend-look-by-leger-by-lena-gercke-9787,/p/leger-by-lena-gercke/pullover-mila-mit-kaschmiranteil-4022039
grau,,"""Obermaterial: 40% Wolle",Frauen,Bekleidung,Große Größen,Hosen,/o/lena-gercke-weekend-look-by-leger-by-lena-gercke-9787,/p/leger-by-lena-gercke/hose-lou-4022353
grau,"49,90 EUR","""Obermaterial: 65% Baumwolle",Frauen,Bekleidung,Sweat,Hoodies,/o/lena-gercke-easy-basic-look-by-leger-by-lena-gercke-9799,/p/leger-by-lena-gercke/hoodie-hayley-4022325
Blau,,"""Obermaterial: 100% Baumwolle""",Frauen,Bekleidung,Jeans,Straight Leg,/o/lena-gercke-easy-basic-look-by-leger-by-lena-gercke-9799,/p/leger-by-lena-gercke/jeans-lorin-4022024
schwarz,"29,90 EUR","""Obermaterial: 97% Baumwolle",Frauen,Bekleidung,Shirts & Tops,Shirts,/o/lena-gercke-chic-black-look-by-leger-by-lena-gercke-15218,/p/leger-by-lena-gercke/shirt-isabell-5596329
schwarz,"39,90 EUR","""Obermaterial: 95% Nylon",Frauen,Bekleidung,Große Größen,Hosen,/o/lena-gercke-chic-black-look-by-leger-by-lena-gercke-15218,/p/leger-by-lena-gercke/hose-valerie-5596290
,,"""Obermaterial:  Leder",Frauen,Schuhe,Sandalen,Sandaletten,/o/lena-gercke-chic-black-look-by-leger-by-lena-gercke-15218,/p/mango/sandaletten-cora-4617195
weiß,"39,90 EUR","""Obermaterial: 65% Baumwolle",Frauen,Bekleidung,Sweat,Sweatshirts,/o/lena-gercke-comfy-white-lounge-look-by-leger-by-lena-gercke-15817,/p/leger-by-lena-gercke/sweatshirt-rosa-6570129
weiß,"49,90 EUR","""Obermaterial: 65% Baumwolle",Frauen,Bekleidung,Große Größen,Hosen,/o/lena-gercke-comfy-white-lounge-look-by-leger-by-lena-gercke-15817,/p/leger-by-lena-gercke/hose-ruby-6569870
,,"""Obermaterial:  Metall""",Frauen,Accessoires,Schmuck,Ringe,/o/lena-gercke-comfy-white-lounge-look-by-leger-by-lena-gercke-15817,/p/leger-by-lena-gercke/ring-carla-5705415
creme,,"""Obermaterial: 100% Baumwolle""",Frauen,Bekleidung,Shirts & Tops,Shirts,/o/lena-gercke-cozy-off-white-sweat-look-by-leger-by-lena-gercke-15818,/p/leger-by-lena-gercke/shirt-eliza-6570120
creme,"34,90 EUR","""Obermaterial: 100% Baumwolle""",Frauen,Bekleidung,Große Größen,Hosen,/o/lena-gercke-cozy-off-white-sweat-look-by-leger-by-lena-gercke-15818,/p/leger-by-lena-gercke/shorts-eliane-6551782
weiß,"24,90 EUR","""Obermaterial: 95% Polyester",Frauen,Bekleidung,Shirts & Tops,Tops,/o/lena-gercke-simple-cropped-look-by-leger-by-lena-gercke-15819,/p/leger-by-lena-gercke/top-keela-6570103
hellblau,"59,90 EUR","""Obermaterial: 100% Baumwolle""",Frauen,Bekleidung,Jeans,Boyfriend,/o/lena-gercke-simple-cropped-look-by-leger-by-lena-gercke-15819,/p/leger-by-lena-gercke/jeans-line-5907163
,,"""Obermaterial:  Leder""",Frauen,Schuhe,Sneaker,Sneaker Low,/o/lena-gercke-simple-cropped-look-by-leger-by-lena-gercke-15819,/p/adidas-originals/sneaker-supercourt-xx-5219846
,,"""Obermaterial: 97% Baumwolle",Frauen,Bekleidung,Große Größen,Kleider,/o/lena-gercke-beige-bodycon-dress-look-by-leger-by-lena-gercke-15220,/p/leger-by-lena-gercke/kleid-meike-5596333
,,"""Obermaterial:  Synthetik""",Frauen,Schuhe,Stiefel,Overknees,/o/lena-gercke-beige-bodycon-dress-look-by-leger-by-lena-gercke-15220,/p/bullboxer/stiefel-5018432
,,"""Material: 92% Viskose",Frauen,Bekleidung,Große Größen,Pullover & Strick,/o/lena-meyer-landrut-comfy-beige-twinset-look-by-a-lot-less-by-lena-meyer-landrut-16531,/p/a-lot-less/top-effie-6792915
beige,,"""Material: 92% Viskose",Frauen,Bekleidung,Große Größen,Hosen,/o/lena-meyer-landrut-comfy-beige-twinset-look-by-a-lot-less-by-lena-meyer-landrut-16531,/p/a-lot-less/hose-fenja-6792735
creme,"59,90 EUR","""Material: 100% Baumwolle""",Frauen,Bekleidung,Sweat,Sweatshirts,/o/lena-meyer-landrut-striped-comfy-look-by-a-lot-less-by-lena-meyer-landrut-18865,/p/a-lot-less/sweatshirt-carla-7841736
schoko,,"""Material: 92% Viskose",Frauen,Bekleidung,Große Größen,Hosen,/o/lena-meyer-landrut-striped-comfy-look-by-a-lot-less-by-lena-meyer-landrut-18865,/p/a-lot-less/shorts-charlotte-7839311
offwhite,,"""Material: 92% Viskose",Frauen,Bekleidung,Große Größen,Kleider,/o/lena-meyer-landrut-minimalistic-dress-look-by-a-lot-less-by-lena-meyer-landrut-18866,/p/a-lot-less/kleid-kalyn-7839224
schoko,,"""Material: 100% Viskose""",Frauen,Bekleidung,Große Größen,Kleider,/o/lena-meyer-landrut-elegant-silky-dress-look-by-a-lot-less-by-lena-meyer-landrut-16525,/p/a-lot-less/kleid-ela-6792208
gold,"99,90 EUR","""Material:  Gold 375""",Frauen,Accessoires,Schmuck,Ringe,/o/lena-meyer-landrut-elegant-silky-dress-look-by-a-lot-less-by-lena-meyer-landrut-16525,/p/christ/ring-5138089
,,"""Obermaterial:  Gold 375""",Frauen,Accessoires,Schmuck,Ringe,/o/lena-meyer-landrut-elegant-silky-dress-look-by-a-lot-less-by-lena-meyer-landrut-16525,/p/christ/ring-5148699
weiß,"99,90 EUR","""Obermaterial:  Gold 375""",Frauen,Accessoires,Schmuck,Ringe,/o/lena-meyer-landrut-elegant-silky-dress-look-by-a-lot-less-by-lena-meyer-landrut-16525,/p/christ/ring-5134273
,"79,90 EUR","""Material:  Silber 925",Frauen,Accessoires,Schmuck,Ohrringe,/o/lena-meyer-landrut-elegant-silky-dress-look-by-a-lot-less-by-lena-meyer-landrut-16525,/p/elli/ohrringe-4601359
gold,"99,90 EUR","""Material:  Gold 375""",Frauen,Accessoires,Schmuck,Ringe,/o/lena-meyer-landrut-elegant-silky-dress-look-by-a-lot-less-by-lena-meyer-landrut-16525,/p/christ/ring-4530721
,,"""Material:  Gold 375""",Frauen,Accessoires,Schmuck,Ringe,/o/lena-meyer-landrut-elegant-silky-dress-look-by-a-lot-less-by-lena-meyer-landrut-16525,/p/elli-premium/ring-4363469
,"139,00 EUR","""Material:  Gold 375""",Frauen,Accessoires,Schmuck,Ringe,/o/lena-meyer-landrut-elegant-silky-dress-look-by-a-lot-less-by-lena-meyer-landrut-16525,/p/elli-premium/ring-bandring-4427601
naturweiß,"59,90 EUR","""Material: 100% Baumwolle""",Frauen,Bekleidung,Sweat,Sweatshirts,/o/lena-meyer-landrut-comfy-off-white-twinset-look-by-a-lot-less-by-lena-meyer-landrut-16521,/p/a-lot-less/sweatshirt-haven-gots-6791907
offwhite,,"""Material: 100% Baumwolle""",Frauen,Bekleidung,Große Größen,Hosen,/o/lena-meyer-landrut-comfy-off-white-twinset-look-by-a-lot-less-by-lena-meyer-landrut-16521,/p/a-lot-less/hose-ida-gots-6792216
,,"""Material:  Silber 925""",Frauen,Accessoires,Schmuck,Ketten,/o/lena-meyer-landrut-comfy-off-white-twinset-look-by-a-lot-less-by-lena-meyer-landrut-16521,/p/noelani/collier-5294091
weiß,"99,90 EUR","""Obermaterial:  Gold 375""",Frauen,Accessoires,Schmuck,Ringe,/o/lena-meyer-landrut-comfy-off-white-twinset-look-by-a-lot-less-by-lena-meyer-landrut-16521,/p/christ/ring-5134273
grün,,"""Obermaterial: 100% Baumwolle""",Frauen,Bekleidung,Pullover & Strick,Strick,/o/lena-meyer-landrut-simple-comfy-look-by-a-lot-less-by-lena-meyer-landrut-18869,/p/a-lot-less/cardigan-leanna-7787330
anthrazit,"99,90 EUR","""Obermaterial: 55% Viskose",Frauen,Bekleidung,Große Größen,Hosen,/o/lena-meyer-landrut-simple-comfy-look-by-a-lot-less-by-lena-meyer-landrut-18869,/p/a-lot-less/hose-florentina-7787664
offwhite,"54,90 EUR","""Material: 92% Viskose",Frauen,Bekleidung,Shirts & Tops,Shirts,/o/lena-meyer-landrut-light-minimalistic-look-by-a-lot-less-by-lena-meyer-landrut-18867,/p/a-lot-less/shirt-rosalie-7839197
